cik,fyear,Z_score_c,tier1_c,past_due_90,past_due_nonaccrual,non_perf_loan,rssdid,cik_original,gvkey,tic,cusip,conm,roa,roe,leverage,tobinq,mark_to_bk,eps,at,bkvlps,ceq,csho,dlc,dltt,ni,seq,mkvalt,prcc_f
18349,2003,589.33069,0.17670292,24896.959,79143.078,104040.03,1078846,18349,13041,SNV,87161C501,SYNOVUS FINANCIAL CORP,0.017978629,37.232979,1.3053956,1.3000747,1175.5646,1.2874475,21632.629,7.4317002,2245.0391,302.09,1611.437,1319.2271,388.92499,2245.0391,8736.4424,28.92
18349,2004,779.02435,0.17814673,20664.006,91421.531,112085.54,1078846,18349,13041,SNV,87161C501,SYNOVUS FINANCIAL CORP,0.017446304,40.294872,1.1689986,1.2482136,1039.6768,1.4098976,25050.178,8.5209999,2641.2891,309.97501,1620.124,1467.5389,437.03299,2641.2891,8859.0859,28.58
18349,2005,526.79736,0.17851505,17607.441,87940.508,105547.95,1078846,18349,13041,SNV,87161C501,SYNOVUS FINANCIAL CORP,0.018697808,44.617474,1.0484781,1.198948,895.14148,1.6518872,27620.672,9.4336004,2949.3291,312.64001,1840.4659,1251.8409,516.44598,2949.3291,8444.4063,27.01
18349,2006,315.15558,0.18673378,37173.254,103721.49,140894.75,1078846,18349,13041,SNV,87161C501,SYNOVUS FINANCIAL CORP,0.019366547,58.422466,0.7881434,1.1986552,881.04425,1.8949876,31854.773,11.3919,3708.6499,325.552,1827.449,1095.499,616.91699,3708.6499,10036.769,30.83
18349,2007,112.59988,0.19059505,34874.02,354142.63,389016.66,1078846,18349,13041,SNV,87161C501,SYNOVUS FINANCIAL CORP,0.015939724,38.419685,1.2231692,1.1363368,761.34088,1.5955018,33018.453,10.4332,3441.5901,329.86801,2718.791,1490.856,526.30499,3441.5901,7943.2212,24.08
18349,2008,9.9129257,0.15907158,39557.156,943430.13,982987.25,1078846,18349,13041,SNV,87161C501,SYNOVUS FINANCIAL CORP,-0.01627546,-14.634386,0.74806541,0.99648607,321.24997,-1.7631791,35786.27,8.5347004,2867.5229,330.33401,1314.402,1518.64,-582.43799,3787.158,2741.7722,8.3000002
18349,2009,9.7060738,0.10959873,20032.211,1600117.3,1620149.5,1078846,18349,13041,SNV,87161C501,SYNOVUS FINANCIAL CORP,-0.043607771,-5.9918895,0.78099686,0.97201806,261.18384,-2.922873,32831.418,3.8446,1922.834,489.828,1096.351,1130.303,-1431.705,2851.041,1004.1474,2.05
18349,2010,87.016891,0.077740297,16100.648,1011363.3,1027463.9,1078846,18349,13041,SNV,87161C501,SYNOVUS FINANCIAL CORP,-0.026274353,-2.6582048,0.76966316,1.0004153,801.90869,-1.0068958,30093.148,2.5852001,2060.595,785.263,834.87701,1472.51,-790.67798,2997.918,2073.0942,2.6400001
18349,2011,35.755951,0.06318301,13945.92,877012.13,890958.06,1078846,18349,13041,SNV,87161C501,SYNOVUS FINANCIAL CORP,-0.0022318722,-0.10885061,0.59363836,0.9715358,467.59543,-0.077199012,27162.846,2.368,1880.4351,785.29498,651.92401,1026.5601,-60.624001,2827.4519,1107.266,1.41
18349,2012,6.702486,0.083768338,6419.0703,520978.56,527397.63,1078846,18349,13041,SNV,87161C501,SYNOVUS FINANCIAL CORP,0.031024238,2.5858967,0.54005748,0.97440267,582.66876,1.0554681,26760.012,3.3074,2612.104,786.57898,281.05899,1646.639,830.20898,3569.4309,1927.1187,2.45
18349,2013,367.87366,0.1157686,4180.2188,397614.31,401794.53,1078846,18349,13041,SNV,87161C501,SYNOVUS FINANCIAL CORP,0.0060829483,0.59009433,0.73966908,1.0258511,1205.6429,0.16391508,26201.604,2.9033999,2823.123,972.35101,198.28799,1982.985,159.383,2948.9851,3500.4636,3.5999999
18349,2014,1160.6013,0.11175549,4267.79,185329.95,189597.73,1078846,18349,13041,SNV,87161C501,SYNOVUS FINANCIAL CORP,0.007217749,38.856735,0.74548954,1.0285488,172.18289,1.4343572,27051.23,21.416599,2915.29,136.123,317.06699,1950.168,195.24899,3041.27,3687.572,27.09
